system               model                testN     trajN  tdiv/T   oob       lam   clip   par
hill_n4              elm0_pedestal_c18    0.0158    0.0141   1.000  0.00  1.00e-12  0.000     7 [   13s]
hill_n4              elmtanh_f18         0.0001    0.0001   1.000  0.00  1.00e-12  0.000    19 [   13s]
hill_n4              elmtanh_f192        0.0000    0.0000   1.000  0.00  1.00e-12  0.000   193 [   13s]
enzyme_cascade       elm_ideal_c8        0.0654    0.0902   0.685  0.00  5.62e-08  0.000    18 [   13s]
enzyme_cascade       elm_ideal_c18       0.0443    0.0603   0.835  0.00  1.00e-11  0.000    38 [   13s]
enzyme_cascade       elm_ideal_c48       0.0266    0.0459   0.962  0.00  1.00e-12  0.000    98 [   14s]
enzyme_cascade       elm_ideal_c192      0.0235    0.0340   1.000  0.00  1.00e-12  0.000   386 [   14s]
enzyme_cascade       elm_pedestal_c8     0.0609    0.1201   0.585  0.00  3.16e-08  0.000    18 [   14s]
enzyme_cascade       elm_pedestal_c18    0.0439    0.0595   0.860  0.00  1.00e-12  0.000    38 [   15s]
enzyme_cascade       elm_pedestal_c48    0.0273    0.0530   0.902  0.00  1.00e-12  0.000    98 [   15s]
enzyme_cascade       elm_pedestal_c192    0.0265    0.0466   0.946  0.00  1.00e-12  0.000   386 [   16s]
enzyme_cascade       elm_silicon_c8      0.0604    0.1186   0.593  0.00  1.00e-04  0.000    18 [   16s]
enzyme_cascade       elm_silicon_c18     0.0407    0.0582   0.875  0.00  1.00e-12  0.000    38 [   16s]
enzyme_cascade       elm_silicon_c48     0.0277    0.0524   0.906  0.00  1.00e-12  0.000    98 [   17s]
enzyme_cascade       elm_silicon_c192    0.0259    0.0461   0.950  0.00  1.00e-12  0.000   386 [   17s]
enzyme_cascade       elm0_ideal_c8       0.1113    0.1132   0.518  0.00  1.78e-04  0.000    10 [   18s]
enzyme_cascade       elm0_ideal_c18      0.0773    0.1251   0.618  0.00  1.78e-06  0.000    14 [   18s]
enzyme_cascade       elm0_pedestal_c8    0.0950    0.1247   0.515  0.00  5.62e-06  0.000    10 [   18s]
enzyme_cascade       elm0_pedestal_c18    0.0677    0.1186   0.604  0.00  5.62e-06  0.000    14 [   19s]
enzyme_cascade       elmtanh_f18         0.0388    0.0519   0.898  0.00  1.00e-04  0.000    38 [   19s]
enzyme_cascade       elmtanh_f192        0.0092    0.0190   1.000  0.00  1.00e-12  0.000   386 [   19s]
gene_autoreg         elm_ideal_c8        0.0009    0.0003   1.000  0.00  1.00e-12  0.000     9 [   19s]
gene_autoreg         elm_ideal_c18       0.0003    0.0000   1.000  0.00  1.00e-12  0.000    19 [   19s]
gene_autoreg         elm_ideal_c48       0.0003    0.0001   1.000  0.00  1.00e-12  0.000    49 [   20s]
gene_autoreg         elm_ideal_c192      0.0003    0.0000   1.000  0.00  1.00e-12  0.000   193 [   20s]
gene_autoreg         elm_pedestal_c8     0.0019    0.0007   1.000  0.00  1.00e-12  0.000     9 [   20s]
gene_autoreg         elm_pedestal_c18    0.0009    0.0002   1.000  0.00  1.00e-12  0.000    19 [   20s]
gene_autoreg         elm_pedestal_c48    0.0008    0.0004   1.000  0.00  1.00e-12  0.000    49 [   21s]
gene_autoreg         elm_pedestal_c192    0.0007    0.0003   1.000  0.00  1.00e-12  0.000   193 [   21s]
gene_autoreg         elm_silicon_c8      0.0019    0.0008   1.000  0.00  1.00e-12  0.000     9 [   21s]
gene_autoreg         elm_silicon_c18     0.0009    0.0006   1.000  0.00  1.00e-12  0.000    19 [   22s]
gene_autoreg         elm_silicon_c48     0.0008    0.0003   1.000  0.00  1.00e-12  0.000    49 [   22s]
gene_autoreg         elm_silicon_c192    0.0007    0.0002   1.000  0.00  1.00e-12  0.000   193 [   23s]
gene_autoreg         elm0_ideal_c8       0.0160    0.0031   1.000  0.00  1.78e-07  0.000     5 [   23s]
gene_autoreg         elm0_ideal_c18      0.0018    0.0003   1.000  0.00  3.16e-12  0.000     7 [   23s]
gene_autoreg         elm0_pedestal_c8    0.0129    0.0071   1.000  0.00  3.16e-09  0.000     5 [   23s]
gene_autoreg         elm0_pedestal_c18    0.0048    0.0030   1.000  0.00  1.00e-12  0.000     7 [   24s]
gene_autoreg         elmtanh_f18         0.0002    0.0000   1.000  0.00  1.00e-12  0.000    19 [   24s]
gene_autoreg         elmtanh_f192        0.0001    0.0000   1.000  0.00  1.00e-12  0.000   193 [   24s]
monod_chemostat      elm_ideal_c8        0.0649    0.1026   0.055  0.00  1.00e-06  0.000     9 [   24s]
monod_chemostat      elm_ideal_c18       0.0398    0.0240   1.000  0.00  3.16e-12  0.000    19 [   25s]
monod_chemostat      elm_ideal_c48       0.0231    0.0294   1.000  0.00  1.00e-12  0.000    49 [   25s]
monod_chemostat      elm_ideal_c192      0.0179    0.0186   1.000  0.00  1.00e-12  0.000   193 [   26s]
monod_chemostat      elm_pedestal_c8     0.0470    0.0276   1.000  0.00  5.62e-07  0.000     9 [   26s]
monod_chemostat      elm_pedestal_c18    0.0385    0.0197   1.000  0.00  5.62e-11  0.000    19 [   26s]
monod_chemostat      elm_pedestal_c48    0.0260    0.0348   1.000  0.00  1.00e-12  0.000    49 [   27s]
monod_chemostat      elm_pedestal_c192    0.0207    0.0270   1.000  0.00  1.00e-12  0.000   193 [   27s]
monod_chemostat      elm_silicon_c8      0.0461    0.0260   1.000  0.00  3.16e-07  0.000     9 [   28s]
monod_chemostat      elm_silicon_c18     0.0375    0.0307   1.000  0.00  5.62e-12  0.000    19 [   28s]
monod_chemostat      elm_silicon_c48     0.0249    0.0330   1.000  0.00  1.00e-12  0.000    49 [   29s]
monod_chemostat      elm_silicon_c192    0.0208    0.0265   1.000  0.00  1.00e-12  0.000   193 [   29s]
monod_chemostat      elm0_ideal_c8       0.1277    0.0745   0.043  0.00  1.78e-06  0.000     5 [   30s]
monod_chemostat      elm0_ideal_c18      0.1062    0.0611   0.568  0.00  1.00e-06  0.000     7 [   30s]
monod_chemostat      elm0_pedestal_c8    0.1404    0.0956   0.057  0.00  1.00e-03  0.000     5 [   30s]
monod_chemostat      elm0_pedestal_c18    0.0884    0.0916   0.077  0.00  3.16e-07  0.000     7 [   41s]
monod_chemostat      elmtanh_f18         0.0337    0.0430   1.000  0.00  3.16e-04  0.000    19 [   41s]
monod_chemostat      elmtanh_f192        0.0102    0.0032   1.000  0.00  1.00e-12  0.000   193 [   41s]
gompertz             elm_ideal_c8        0.0106    0.0027   1.000  0.00  1.00e-12  0.000     9 [   41s]
gompertz             elm_ideal_c18       0.0088    0.0011   1.000  0.00  1.00e-12  0.000    19 [   41s]
gompertz             elm_ideal_c48       0.0077    0.0010   1.000  0.00  1.00e-12  0.000    49 [   42s]
gompertz             elm_ideal_c192      0.0069    0.0005   1.000  0.00  1.00e-12  0.000   193 [   42s]
gompertz             elm_pedestal_c8     0.0140    0.0009   1.000  0.00  1.00e-12  0.000     9 [   42s]
gompertz             elm_pedestal_c18    0.0129    0.0020   1.000  0.00  1.00e-12  0.000    19 [   43s]
gompertz             elm_pedestal_c48    0.0108    0.0020   1.000  0.00  1.00e-12  0.000    49 [   43s]
gompertz             elm_pedestal_c192    0.0097    0.0017   1.000  0.00  1.00e-12  0.000   193 [   43s]
gompertz             elm_silicon_c8      0.0139    0.0011   1.000  0.00  1.00e-12  0.000     9 [   44s]
gompertz             elm_silicon_c18     0.0128    0.0019   1.000  0.00  1.00e-12  0.000    19 [   44s]
gompertz             elm_silicon_c48     0.0106    0.0018   1.000  0.00  1.00e-12  0.000    49 [   44s]
gompertz             elm_silicon_c192    0.0097    0.0016   1.000  0.00  1.00e-12  0.000   193 [   45s]
gompertz             elm0_ideal_c8       0.0287    0.0049   1.000  0.00  3.16e-07  0.000     5 [   45s]
gompertz             elm0_ideal_c18      0.0139    0.0030   1.000  0.00  5.62e-11  0.000     7 [   45s]
gompertz             elm0_pedestal_c8    0.0356    0.0062   1.000  0.00  1.00e-07  0.000     5 [   45s]
gompertz             elm0_pedestal_c18    0.0182    0.0045   1.000  0.00  1.00e-10  0.000     7 [   46s]
gompertz             elmtanh_f18         0.0039    0.0003   1.000  0.00  1.00e-12  0.000    19 [   46s]
gompertz             elmtanh_f192        0.0021    0.0000   1.000  0.00  1.00e-12  0.000   193 [   46s]
bimolecular          elm_ideal_c8        0.0167    0.0474   1.000  0.00  1.78e-06  0.000     9 [   46s]
bimolecular          elm_ideal_c18       0.0004    0.0004   1.000  0.00  1.00e-11  0.000    19 [   46s]
bimolecular          elm_ideal_c48       0.0000    0.0000   1.000  0.00  1.00e-12  0.000    49 [   47s]
bimolecular          elm_ideal_c192      0.0000    0.0000   1.000  0.00  1.00e-12  0.000   193 [   47s]
bimolecular          elm_pedestal_c8     0.0060    0.0091   1.000  0.00  5.62e-07  0.000     9 [   47s]
bimolecular          elm_pedestal_c18    0.0000    0.0000   1.000  0.00  1.78e-12  0.000    19 [   48s]
bimolecular          elm_pedestal_c48    0.0000    0.0000   1.000  0.00  1.00e-12  0.000    49 [   48s]
bimolecular          elm_pedestal_c192    0.0000    0.0000   1.000  0.00  1.00e-12  0.000   193 [   49s]
bimolecular          elm_silicon_c8      0.0058    0.0108   1.000  0.00  5.62e-08  0.000     9 [   49s]
